GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FairShare Backend,com.fairshare.dto,LoginRequest,3,0,0,0,1,0,1,0,1,0
FairShare Backend,com.fairshare.dto,ExpenseRequest,3,0,0,0,1,0,1,0,1,0
FairShare Backend,com.fairshare.dto,SignupRequest,3,0,0,0,1,0,1,0,1,0
FairShare Backend,com.fairshare.model,GroupMember,19,24,0,0,7,7,3,7,3,7
FairShare Backend,com.fairshare.model,Expense,16,85,0,0,5,26,5,22,5,22
FairShare Backend,com.fairshare.model,ExpenseSplit,10,28,0,0,3,8,3,8,3,8
FairShare Backend,com.fairshare.model,Group,19,31,0,0,7,9,3,9,3,9
FairShare Backend,com.fairshare.model,User,0,77,0,0,0,32,0,21,0,21
FairShare Backend,com.fairshare.config,WebConfig,49,0,0,0,8,0,2,0,2,0
FairShare Backend,com.fairshare.service,AuthService,71,216,9,9,7,45,17,8,8,8
FairShare Backend,com.fairshare.service,BalanceService,9,105,5,11,2,21,5,6,0,3
FairShare Backend,com.fairshare.service,ExpenseService,1064,810,89,59,182,165,83,31,24,16
FairShare Backend,com.fairshare.service,GroupService,41,195,8,12,6,47,12,11,4,9
FairShare Backend,com.fairshare.controller,AuthController,57,221,9,13,15,54,9,10,0,8
FairShare Backend,com.fairshare.controller,GroupController,33,167,3,9,11,36,3,13,0,10
FairShare Backend,com.fairshare.controller,ExpenseController,239,524,32,46,61,120,23,33,0,17
FairShare Backend,com.fairshare,FairShareApplication,8,0,0,0,3,0,2,0,2,0
FairShare Backend,com.fairshare.payload,SignupRequest,0,24,0,0,0,10,0,7,0,7
FairShare Backend,com.fairshare.payload,ExpenseRequest,7,73,0,0,2,21,2,21,2,21
FairShare Backend,com.fairshare.payload,LoginRequest,0,17,0,0,0,5,0,5,0,5
